arm,trait,K,n,held,held_frac
prompt,remorse,6,10,8,0.8
prompt,remorse,8,10,7,0.7
prompt,remorse,12,10,10,1.0
prompt,remorse,16,10,8,0.8
prompt,sarcasm,2,10,5,0.5
prompt,sarcasm,4,10,5,0.5
prompt,sarcasm,6,10,7,0.7
prompt,sarcasm,8,10,7,0.7
prompt,sarcasm,12,8,6,0.75
prompt,sarcasm,16,10,9,0.9
prompt,sincerity,2,10,4,0.4
prompt,sincerity,4,10,5,0.5
prompt,sincerity,6,10,4,0.4
prompt,sincerity,8,10,3,0.3
prompt,sincerity,12,10,5,0.5
prompt,sincerity,16,10,3,0.3
prompt,sycophancy,2,9,5,0.5556
prompt,sycophancy,4,9,4,0.4444
prompt,sycophancy,6,7,4,0.5714
prompt,sycophancy,8,8,6,0.75
prompt,sycophancy,12,6,5,0.8333
prompt,sycophancy,16,2,2,1.0
pvec,goodness,2,10,7,0.7
pvec,goodness,4,10,8,0.8
pvec,goodness,6,10,7,0.7
pvec,goodness,8,10,9,0.9
pvec,goodness,12,10,9,0.9
pvec,goodness,16,10,8,0.8
pvec,honesty,2,10,4,0.4
pvec,honesty,4,10,5,0.5
pvec,honesty,6,9,8,0.8889
pvec,honesty,8,10,8,0.8
pvec,honesty,12,10,10,1.0
pvec,honesty,16,10,10,1.0
pvec,humor,2,10,0,0.0
pvec,humor,4,10,2,0.2
pvec,humor,6,10,4,0.4
pvec,humor,8,10,4,0.4
pvec,humor,12,10,3,0.3
pvec,humor,16,10,3,0.3
pvec,impulsiveness,2,10,9,0.9
pvec,impulsiveness,4,10,8,0.8
pvec,impulsiveness,6,10,9,0.9
pvec,impulsiveness,7,10,6,0.6
pvec,impulsiveness,8,10,9,0.9
pvec,impulsiveness,12,10,8,0.8
pvec,impulsiveness,16,10,8,0.8
pvec,loving,2,7,7,1.0
pvec,loving,4,5,5,1.0
pvec,loving,6,5,5,1.0
pvec,loving,8,5,5,1.0
pvec,loving,12,7,7,1.0
pvec,loving,16,5,5,1.0
pvec,mathematical,2,10,0,0.0
pvec,mathematical,4,10,2,0.2
pvec,mathematical,6,10,0,0.0
pvec,mathematical,8,10,0,0.0
pvec,mathematical,12,10,1,0.1
pvec,mathematical,16,10,1,0.1
pvec,nonchalance,2,10,0,0.0
pvec,nonchalance,4,10,2,0.2
pvec,nonchalance,5,10,1,0.1
pvec,nonchalance,6,10,3,0.3
pvec,nonchalance,8,10,3,0.3
pvec,nonchalance,11,10,5,0.5
pvec,nonchalance,12,10,6,0.6
pvec,nonchalance,16,10,10,1.0
pvec,nonchalance,24,10,8,0.8
pvec,poeticism,2,10,5,0.5
pvec,poeticism,3,10,8,0.8
pvec,poeticism,4,10,9,0.9
pvec,poeticism,6,10,10,1.0
pvec,poeticism,8,10,9,0.9
pvec,poeticism,12,10,10,1.0
pvec,poeticism,16,10,9,0.9
pvec,remorse,2,7,4,0.5714
pvec,remorse,4,7,5,0.7143
pvec,remorse,6,7,6,0.8571
pvec,remorse,8,6,6,1.0
pvec,remorse,12,7,6,0.8571
pvec,remorse,16,4,3,0.75
pvec,sarcasm,2,10,2,0.2
pvec,sarcasm,4,10,3,0.3
pvec,sarcasm,6,10,7,0.7
pvec,sarcasm,8,10,5,0.5
pvec,sarcasm,12,10,8,0.8
pvec,sarcasm,16,10,9,0.9
pvec,sincerity,2,10,5,0.5
pvec,sincerity,4,10,9,0.9
pvec,sincerity,6,10,10,1.0
pvec,sincerity,8,10,10,1.0
pvec,sincerity,12,10,10,1.0
pvec,sincerity,16,10,10,1.0
pvec,sycophancy,2,10,10,1.0
pvec,sycophancy,4,10,10,1.0
pvec,sycophancy,6,10,10,1.0
pvec,sycophancy,7,10,9,0.9
pvec,sycophancy,8,10,10,1.0
pvec,sycophancy,10,10,8,0.8
pvec,sycophancy,12,10,10,1.0
pvec,sycophancy,16,10,10,1.0
